id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
russia-google-policy-job-board-search-climate-policy-jobs,Google / policy job-board search,https://www.google.com/search?q=climate+policy+jobs+in+Russia,Climate policy jobs,"Climate, environment, energy and policy roles",Russia,Climate policy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: climate policy jobs in Russia. Also try climate change, environment, renewable energy, adaptation, resilience. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
russia-google-health-job-board-search-public-health-jobs,Google / health job-board search,https://www.google.com/search?q=public+health+jobs+in+Russia,Public health jobs,"Public health, health systems and global health roles",Russia,Public health jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: public health jobs in Russia. Also try health systems, epidemiology, implementation science. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
russia-google-education-job-board-search-education-research-jobs,Google / education job-board search,https://www.google.com/search?q=education+research+jobs+in+Russia,Education research jobs,"Education research, policy, evaluation and programme roles",Russia,Education research jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: education research jobs in Russia. Also try learning outcomes, EdTech, education policy, impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
russia-government-websites-via-google-search-official-government-jobs-search,Government websites via Google search,https://www.google.com/search?q=site%3A.gov+Russia+jobs+public+service+commission,Official government jobs search,Government jobs and public service vacancies,Russia,Official government jobs search,Search link/manual review,High,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.gov Russia jobs public service commission. For countries without .gov, use the country-code government domain or search official portal names. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
russia-organisation-websites-via-google-search-ngo-website-search,Organisation websites via Google search,https://www.google.com/search?q=site%3A.org+Russia+NGO+jobs,NGO website search,NGO vacancies on .org websites,Russia,NGO website search,Search link/manual review,Low,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.org Russia NGO jobs. Useful for finding NGO vacancies directly on organisation websites. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
russia-linkedin-jobs-linkedin-consultant-jobs,LinkedIn Jobs,https://www.google.com/search?q=site%3Alinkedin.com%2Fjobs+Russia+consultant,LinkedIn consultant jobs,Consultant jobs on LinkedIn,Russia,LinkedIn consultant jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:linkedin.com/jobs Russia consultant. Use LinkedIn filters after opening results. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
russia-reliefweb-jobs-reliefweb-country-search,ReliefWeb Jobs,https://www.google.com/search?q=site%3Areliefweb.int%2Fjobs+Russia,ReliefWeb country search,Humanitarian and development vacancies by country,Russia,ReliefWeb country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:reliefweb.int/jobs Russia. Open ReliefWeb and filter by country and closing date. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
russia-impactpool-impactpool-country-search,Impactpool,https://www.google.com/search?q=site%3Aimpactpool.org+Russia,Impactpool country search,"UN, NGO, EU and international organisation vacancies by country",Russia,Impactpool country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:impactpool.org Russia. Open Impactpool and filter by location/organisation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
russia-global-remote-search-remote-evidence-synthesis-consulting,Global remote search,https://www.google.com/search?q=remote+evidence+synthesis+consultant+Russia,Remote evidence synthesis consulting,Remote evidence synthesis and systematic review consulting,Russia,Remote evidence synthesis consulting,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: remote evidence synthesis consultant Russia. Country name may help with eligibility, but many roles are location-independent. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-jobs-general-web-search-general-all-sector-jobs,Google Jobs / general web search,https://www.google.com/search?q=jobs+in+Rwanda,General all-sector jobs,All-sector job listings,Rwanda,General all-sector jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: jobs in Rwanda. Use broad search first, then filter by sector, location, date and employer. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-ngo-job-board-search-ngo-jobs,Google / NGO job-board search,https://www.google.com/search?q=NGO+jobs+in+Rwanda,NGO jobs,NGO and civil society jobs,Rwanda,NGO jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: NGO jobs in Rwanda. Good for NGOs and civil society organisations. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-google-professional-job-board-search-consultancy-jobs,Google / professional job-board search,https://www.google.com/search?q=consultant+jobs+in+Rwanda,Consultancy jobs,Consultant and consultancy opportunities,Rwanda,Consultancy jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: consultant jobs in Rwanda. Good for short-term consulting assignments. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-google-research-job-board-search-research-consultancy-jobs,Google / research job-board search,https://www.google.com/search?q=research+consultant+jobs+in+Rwanda,Research consultancy jobs,Research consultant roles and project consultancies,Rwanda,Research consultancy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: research consultant jobs in Rwanda. Useful for evidence synthesis, evaluation, health, education and policy roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-m-and-e-job-board-search-monitoring-and-evaluation-jobs,Google / M&E job-board search,https://www.google.com/search?q=monitoring+evaluation+jobs+in+Rwanda,Monitoring and evaluation jobs,"Monitoring, evaluation, learning and impact roles",Rwanda,Monitoring and evaluation jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: monitoring evaluation jobs in Rwanda. Also try MEL, MERL, MEAL and impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-policy-job-board-search-climate-policy-jobs,Google / policy job-board search,https://www.google.com/search?q=climate+policy+jobs+in+Rwanda,Climate policy jobs,"Climate, environment, energy and policy roles",Rwanda,Climate policy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: climate policy jobs in Rwanda. Also try climate change, environment, renewable energy, adaptation, resilience. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-health-job-board-search-public-health-jobs,Google / health job-board search,https://www.google.com/search?q=public+health+jobs+in+Rwanda,Public health jobs,"Public health, health systems and global health roles",Rwanda,Public health jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: public health jobs in Rwanda. Also try health systems, epidemiology, implementation science. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-google-education-job-board-search-education-research-jobs,Google / education job-board search,https://www.google.com/search?q=education+research+jobs+in+Rwanda,Education research jobs,"Education research, policy, evaluation and programme roles",Rwanda,Education research jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: education research jobs in Rwanda. Also try learning outcomes, EdTech, education policy, impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-government-websites-via-google-search-official-government-jobs-search,Government websites via Google search,https://www.google.com/search?q=site%3A.gov+Rwanda+jobs+public+service+commission,Official government jobs search,Government jobs and public service vacancies,Rwanda,Official government jobs search,Search link/manual review,High,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.gov Rwanda jobs public service commission. For countries without .gov, use the country-code government domain or search official portal names. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
rwanda-organisation-websites-via-google-search-ngo-website-search,Organisation websites via Google search,https://www.google.com/search?q=site%3A.org+Rwanda+NGO+jobs,NGO website search,NGO vacancies on .org websites,Rwanda,NGO website search,Search link/manual review,Low,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.org Rwanda NGO jobs. Useful for finding NGO vacancies directly on organisation websites. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-linkedin-jobs-linkedin-consultant-jobs,LinkedIn Jobs,https://www.google.com/search?q=site%3Alinkedin.com%2Fjobs+Rwanda+consultant,LinkedIn consultant jobs,Consultant jobs on LinkedIn,Rwanda,LinkedIn consultant jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:linkedin.com/jobs Rwanda consultant. Use LinkedIn filters after opening results. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-reliefweb-jobs-reliefweb-country-search,ReliefWeb Jobs,https://www.google.com/search?q=site%3Areliefweb.int%2Fjobs+Rwanda,ReliefWeb country search,Humanitarian and development vacancies by country,Rwanda,ReliefWeb country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:reliefweb.int/jobs Rwanda. Open ReliefWeb and filter by country and closing date. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-impactpool-impactpool-country-search,Impactpool,https://www.google.com/search?q=site%3Aimpactpool.org+Rwanda,Impactpool country search,"UN, NGO, EU and international organisation vacancies by country",Rwanda,Impactpool country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:impactpool.org Rwanda. Open Impactpool and filter by location/organisation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
rwanda-global-remote-search-remote-evidence-synthesis-consulting,Global remote search,https://www.google.com/search?q=remote+evidence+synthesis+consultant+Rwanda,Remote evidence synthesis consulting,Remote evidence synthesis and systematic review consulting,Rwanda,Remote evidence synthesis consulting,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: remote evidence synthesis consultant Rwanda. Country name may help with eligibility, but many roles are location-independent. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-jobs-general-web-search-general-all-sector-jobs,Google Jobs / general web search,https://www.google.com/search?q=jobs+in+Saint+Kitts+and+Nevis,General all-sector jobs,All-sector job listings,Saint Kitts and Nevis,General all-sector jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: jobs in Saint Kitts and Nevis. Use broad search first, then filter by sector, location, date and employer. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-ngo-job-board-search-ngo-jobs,Google / NGO job-board search,https://www.google.com/search?q=NGO+jobs+in+Saint+Kitts+and+Nevis,NGO jobs,NGO and civil society jobs,Saint Kitts and Nevis,NGO jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: NGO jobs in Saint Kitts and Nevis. Good for NGOs and civil society organisations. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-google-professional-job-board-search-consultancy-jobs,Google / professional job-board search,https://www.google.com/search?q=consultant+jobs+in+Saint+Kitts+and+Nevis,Consultancy jobs,Consultant and consultancy opportunities,Saint Kitts and Nevis,Consultancy jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: consultant jobs in Saint Kitts and Nevis. Good for short-term consulting assignments. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-google-research-job-board-search-research-consultancy-jobs,Google / research job-board search,https://www.google.com/search?q=research+consultant+jobs+in+Saint+Kitts+and+Nevis,Research consultancy jobs,Research consultant roles and project consultancies,Saint Kitts and Nevis,Research consultancy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: research consultant jobs in Saint Kitts and Nevis. Useful for evidence synthesis, evaluation, health, education and policy roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-m-and-e-job-board-search-monitoring-and-evaluation-jobs,Google / M&E job-board search,https://www.google.com/search?q=monitoring+evaluation+jobs+in+Saint+Kitts+and+Nevis,Monitoring and evaluation jobs,"Monitoring, evaluation, learning and impact roles",Saint Kitts and Nevis,Monitoring and evaluation jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: monitoring evaluation jobs in Saint Kitts and Nevis. Also try MEL, MERL, MEAL and impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-policy-job-board-search-climate-policy-jobs,Google / policy job-board search,https://www.google.com/search?q=climate+policy+jobs+in+Saint+Kitts+and+Nevis,Climate policy jobs,"Climate, environment, energy and policy roles",Saint Kitts and Nevis,Climate policy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: climate policy jobs in Saint Kitts and Nevis. Also try climate change, environment, renewable energy, adaptation, resilience. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-health-job-board-search-public-health-jobs,Google / health job-board search,https://www.google.com/search?q=public+health+jobs+in+Saint+Kitts+and+Nevis,Public health jobs,"Public health, health systems and global health roles",Saint Kitts and Nevis,Public health jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: public health jobs in Saint Kitts and Nevis. Also try health systems, epidemiology, implementation science. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-google-education-job-board-search-education-research-jobs,Google / education job-board search,https://www.google.com/search?q=education+research+jobs+in+Saint+Kitts+and+Nevis,Education research jobs,"Education research, policy, evaluation and programme roles",Saint Kitts and Nevis,Education research jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: education research jobs in Saint Kitts and Nevis. Also try learning outcomes, EdTech, education policy, impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-government-websites-via-google-search-official-government-jobs-searc,Government websites via Google search,https://www.google.com/search?q=site%3A.gov+Saint+Kitts+and+Nevis+jobs+public+service+commission,Official government jobs search,Government jobs and public service vacancies,Saint Kitts and Nevis,Official government jobs search,Search link/manual review,High,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.gov Saint Kitts and Nevis jobs public service commission. For countries without .gov, use the country-code government domain or search official portal names. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-kitts-and-nevis-organisation-websites-via-google-search-ngo-website-search,Organisation websites via Google search,https://www.google.com/search?q=site%3A.org+Saint+Kitts+and+Nevis+NGO+jobs,NGO website search,NGO vacancies on .org websites,Saint Kitts and Nevis,NGO website search,Search link/manual review,Low,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.org Saint Kitts and Nevis NGO jobs. Useful for finding NGO vacancies directly on organisation websites. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-linkedin-jobs-linkedin-consultant-jobs,LinkedIn Jobs,https://www.google.com/search?q=site%3Alinkedin.com%2Fjobs+Saint+Kitts+and+Nevis+consultant,LinkedIn consultant jobs,Consultant jobs on LinkedIn,Saint Kitts and Nevis,LinkedIn consultant jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:linkedin.com/jobs Saint Kitts and Nevis consultant. Use LinkedIn filters after opening results. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-reliefweb-jobs-reliefweb-country-search,ReliefWeb Jobs,https://www.google.com/search?q=site%3Areliefweb.int%2Fjobs+Saint+Kitts+and+Nevis,ReliefWeb country search,Humanitarian and development vacancies by country,Saint Kitts and Nevis,ReliefWeb country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:reliefweb.int/jobs Saint Kitts and Nevis. Open ReliefWeb and filter by country and closing date. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-impactpool-impactpool-country-search,Impactpool,https://www.google.com/search?q=site%3Aimpactpool.org+Saint+Kitts+and+Nevis,Impactpool country search,"UN, NGO, EU and international organisation vacancies by country",Saint Kitts and Nevis,Impactpool country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:impactpool.org Saint Kitts and Nevis. Open Impactpool and filter by location/organisation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-kitts-and-nevis-global-remote-search-remote-evidence-synthesis-consulting,Global remote search,https://www.google.com/search?q=remote+evidence+synthesis+consultant+Saint+Kitts+and+Nevis,Remote evidence synthesis consulting,Remote evidence synthesis and systematic review consulting,Saint Kitts and Nevis,Remote evidence synthesis consulting,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: remote evidence synthesis consultant Saint Kitts and Nevis. Country name may help with eligibility, but many roles are location-independent. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-jobs-general-web-search-general-all-sector-jobs,Google Jobs / general web search,https://www.google.com/search?q=jobs+in+Saint+Lucia,General all-sector jobs,All-sector job listings,Saint Lucia,General all-sector jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: jobs in Saint Lucia. Use broad search first, then filter by sector, location, date and employer. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-ngo-job-board-search-ngo-jobs,Google / NGO job-board search,https://www.google.com/search?q=NGO+jobs+in+Saint+Lucia,NGO jobs,NGO and civil society jobs,Saint Lucia,NGO jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: NGO jobs in Saint Lucia. Good for NGOs and civil society organisations. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-google-professional-job-board-search-consultancy-jobs,Google / professional job-board search,https://www.google.com/search?q=consultant+jobs+in+Saint+Lucia,Consultancy jobs,Consultant and consultancy opportunities,Saint Lucia,Consultancy jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: consultant jobs in Saint Lucia. Good for short-term consulting assignments. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-google-research-job-board-search-research-consultancy-jobs,Google / research job-board search,https://www.google.com/search?q=research+consultant+jobs+in+Saint+Lucia,Research consultancy jobs,Research consultant roles and project consultancies,Saint Lucia,Research consultancy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: research consultant jobs in Saint Lucia. Useful for evidence synthesis, evaluation, health, education and policy roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-m-and-e-job-board-search-monitoring-and-evaluation-jobs,Google / M&E job-board search,https://www.google.com/search?q=monitoring+evaluation+jobs+in+Saint+Lucia,Monitoring and evaluation jobs,"Monitoring, evaluation, learning and impact roles",Saint Lucia,Monitoring and evaluation jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: monitoring evaluation jobs in Saint Lucia. Also try MEL, MERL, MEAL and impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-policy-job-board-search-climate-policy-jobs,Google / policy job-board search,https://www.google.com/search?q=climate+policy+jobs+in+Saint+Lucia,Climate policy jobs,"Climate, environment, energy and policy roles",Saint Lucia,Climate policy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: climate policy jobs in Saint Lucia. Also try climate change, environment, renewable energy, adaptation, resilience. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-health-job-board-search-public-health-jobs,Google / health job-board search,https://www.google.com/search?q=public+health+jobs+in+Saint+Lucia,Public health jobs,"Public health, health systems and global health roles",Saint Lucia,Public health jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: public health jobs in Saint Lucia. Also try health systems, epidemiology, implementation science. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-google-education-job-board-search-education-research-jobs,Google / education job-board search,https://www.google.com/search?q=education+research+jobs+in+Saint+Lucia,Education research jobs,"Education research, policy, evaluation and programme roles",Saint Lucia,Education research jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: education research jobs in Saint Lucia. Also try learning outcomes, EdTech, education policy, impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-government-websites-via-google-search-official-government-jobs-search,Government websites via Google search,https://www.google.com/search?q=site%3A.gov+Saint+Lucia+jobs+public+service+commission,Official government jobs search,Government jobs and public service vacancies,Saint Lucia,Official government jobs search,Search link/manual review,High,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.gov Saint Lucia jobs public service commission. For countries without .gov, use the country-code government domain or search official portal names. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-lucia-organisation-websites-via-google-search-ngo-website-search,Organisation websites via Google search,https://www.google.com/search?q=site%3A.org+Saint+Lucia+NGO+jobs,NGO website search,NGO vacancies on .org websites,Saint Lucia,NGO website search,Search link/manual review,Low,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:.org Saint Lucia NGO jobs. Useful for finding NGO vacancies directly on organisation websites. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-linkedin-jobs-linkedin-consultant-jobs,LinkedIn Jobs,https://www.google.com/search?q=site%3Alinkedin.com%2Fjobs+Saint+Lucia+consultant,LinkedIn consultant jobs,Consultant jobs on LinkedIn,Saint Lucia,LinkedIn consultant jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:linkedin.com/jobs Saint Lucia consultant. Use LinkedIn filters after opening results. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-reliefweb-jobs-reliefweb-country-search,ReliefWeb Jobs,https://www.google.com/search?q=site%3Areliefweb.int%2Fjobs+Saint+Lucia,ReliefWeb country search,Humanitarian and development vacancies by country,Saint Lucia,ReliefWeb country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:reliefweb.int/jobs Saint Lucia. Open ReliefWeb and filter by country and closing date. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-impactpool-impactpool-country-search,Impactpool,https://www.google.com/search?q=site%3Aimpactpool.org+Saint+Lucia,Impactpool country search,"UN, NGO, EU and international organisation vacancies by country",Saint Lucia,Impactpool country search,Search link/manual review,High,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: site:impactpool.org Saint Lucia. Open Impactpool and filter by location/organisation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-lucia-global-remote-search-remote-evidence-synthesis-consulting,Global remote search,https://www.google.com/search?q=remote+evidence+synthesis+consultant+Saint+Lucia,Remote evidence synthesis consulting,Remote evidence synthesis and systematic review consulting,Saint Lucia,Remote evidence synthesis consulting,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: remote evidence synthesis consultant Saint Lucia. Country name may help with eligibility, but many roles are location-independent. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-vincent-and-the-grenadines-google-jobs-general-web-search-general-all-sector-jobs,Google Jobs / general web search,https://www.google.com/search?q=jobs+in+Saint+Vincent+and+the+Grenadines,General all-sector jobs,All-sector job listings,Saint Vincent and the Grenadines,General all-sector jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: jobs in Saint Vincent and the Grenadines. Use broad search first, then filter by sector, location, date and employer. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-vincent-and-the-grenadines-google-ngo-job-board-search-ngo-jobs,Google / NGO job-board search,https://www.google.com/search?q=NGO+jobs+in+Saint+Vincent+and+the+Grenadines,NGO jobs,NGO and civil society jobs,Saint Vincent and the Grenadines,NGO jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: NGO jobs in Saint Vincent and the Grenadines. Good for NGOs and civil society organisations. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-vincent-and-the-grenadines-google-professional-job-board-search-consultancy-jobs,Google / professional job-board search,https://www.google.com/search?q=consultant+jobs+in+Saint+Vincent+and+the+Grenadines,Consultancy jobs,Consultant and consultancy opportunities,Saint Vincent and the Grenadines,Consultancy jobs,Search link/manual review,Medium,Weekly,Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: consultant jobs in Saint Vincent and the Grenadines. Good for short-term consulting assignments. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
saint-vincent-and-the-grenadines-google-research-job-board-search-research-consultancy-job,Google / research job-board search,https://www.google.com/search?q=research+consultant+jobs+in+Saint+Vincent+and+the+Grenadines,Research consultancy jobs,Research consultant roles and project consultancies,Saint Vincent and the Grenadines,Research consultancy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: research consultant jobs in Saint Vincent and the Grenadines. Useful for evidence synthesis, evaluation, health, education and policy roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-vincent-and-the-grenadines-google-m-and-e-job-board-search-monitoring-and-evaluation,Google / M&E job-board search,https://www.google.com/search?q=monitoring+evaluation+jobs+in+Saint+Vincent+and+the+Grenadines,Monitoring and evaluation jobs,"Monitoring, evaluation, learning and impact roles",Saint Vincent and the Grenadines,Monitoring and evaluation jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: monitoring evaluation jobs in Saint Vincent and the Grenadines. Also try MEL, MERL, MEAL and impact evaluation. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
saint-vincent-and-the-grenadines-google-policy-job-board-search-climate-policy-jobs,Google / policy job-board search,https://www.google.com/search?q=climate+policy+jobs+in+Saint+Vincent+and+the+Grenadines,Climate policy jobs,"Climate, environment, energy and policy roles",Saint Vincent and the Grenadines,Climate policy jobs,Search link/manual review,Medium,Weekly,"Section: Part 6 - recommended country searches. Verification: Search performed as reusable query link. Recommended query: climate policy jobs in Saint Vincent and the Grenadines. Also try climate change, environment, renewable energy, adaptation, resilience. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
